dragonmounts-1.18.2-1.1.4.jar	no	dragonmounts,
drippyloadingscreen_forge_3.0.1_MC_1.18.2.jar	no	drippyloadingscreen,
dynamiclightsreforged-1.18.2_v1.3.3.jar	yes	lambdynlights,
ecologics-forge-1.18.2-1.7.11.jar	yes	ecologics,
effective_fg-1.2.4.jar	no	effective_fg,
embeddium-0.3.18+mc1.18.2.jar	no	embeddium,sodium,
enchantlimiter-2.0.jar	no	enchantlimiter,
endrem_forge-5.2.0-R-1.18.2.jar	yes	endrem,
enlightened-end-1.18.2-v4.0.0.1.jar	no	enlightened_end,
entityculling-forge-1.6.1-mc1.18.2.jar	yes	entityculling,
epicfight-forge-18.5.26-1.18.2-.jar	yes	epicfight,
falchionmoveset-18.5.0.jar	no	falchionmoveset,
fancymenu_forge_3.1.2_MC_1.18.2.jar	no	fancymenu,
fantasyfurniture-1.18.2-3.14.0.jar	yes	fantasyfurniture,
farsight-1.18.2-1.9.jar	no	
farsightedmobs-forge-1.1-1.18.jar	no	
feature_nbt_deadlock_be_gone_forge-2.0.0+1.18.2.jar	no	
ferritecore-4.2.2-forge.jar	no	
friendsandfoes-forge-mc1.18.2-1.4.8.jar	no	friendsandfoes,
ftb-library-forge-1802.3.11-build.177.jar	yes	ftblibrary,
ftb-quests-forge-1802.3.15-build.298.jar	yes	ftbquests,
ftb-ranks-forge-1802.1.11-build.71.jar	no	
ftb-teams-forge-1802.2.11-build.107.jar	no	ftbteams,
fullstackwatchdog-1.0.1+1.19.2-forge.jar	no	
geckolib-forge-1.18-3.0.57.jar	no	geckolib3,
getittogetherdrops-forge-1.18.2-1.3.jar	no	
global_packs-forge-1.18.2-1.12.4_forge.jar	no	
goblintraders-1.8.0-1.18.2.jar	yes	goblintraders,
gpumemleakfix-1.18.2-1.6.jar	no	
guardvillagers-1.18.2.1.4.4.jar	yes	guardvillagers,
habitat-1.1.5.jar	no	habitat,
hexerei-0.2.2.jar	yes	hexerei,
humancompanions-1.18.2-1.7.3.jar	no	humancompanions,
idas_forge-1.6.7+1.18.2.jar	no	idas,
illageandspillage-1.18.2-1.1.3.jar	no	illageandspillage,
immersive_weathering-1.18.2-3.0.3-forge.jar	yes	immersive_weathering,
impactful-18.5.8.jar	no	
improvedmobs-1.18.2-1.12.1-forge.jar	no	improvedmobs,
incontrol-1.18-6.1.12.jar	no	
indestructible-18.5.10.jar	no	
infernal-expansion-1.18.2-2.5.0.jar	yes	infernalexp,
integrated_api_forge-1.2.8+1.18.2.jar	no	
integrated_stronghold_forge-1.0.2+1.18.2.jar	no	integrated_stronghold,
inventoryhud.forge.1.18.2-3.4.26.jar	yes	inventoryhud,
irons_spellbooks-1.18.2-1.1.4.5.jar	yes	irons_spellbooks,
item-filters-forge-1802.2.8-build.50.jar	yes	itemfilters,
itemdelete-2.0.3.1.jar	no	
journeymap-1.18.2-5.9.8-forge.jar	yes	journeymap,
jumpboat-1.18.2-0.1.0.3.jar	no	
konkrete_forge_1.8.0_MC_1.18-1.18.2.jar	no	
krypton-0.1.10-SNAPSHOT.jar	no	
lazydfu-1.0-1.18+.jar	no	
libertyvillagers-2.0.0+forge+1.18.2.jar	no	libertyvillagers,
libraryferret-forge-1.18.2-3.0.0.jar	no	libraryferret,
lightspeed-1.18.2-1.0.5.jar	no	
lilwings-forge-1.18.2-1.2.4.jar	no	lilwings,
limitedchunks-1.18.2-2.3.jar	no	
logprot-1.18.2-1.7.jar	no	
lootbeams-1.18.1-release-july1722.jar	no	
lootr-1.18.2-0.3.27.69.jar	yes	lootr,
majrusz-library-1.18.2-5.1.2.jar	no	mlib,
majruszs-difficulty-1.18.2-1.8.1.jar	yes	majruszsdifficulty,
meetyourfight-1.18.2-1.2.5.jar	no	meetyourfight,
melody_forge_1.0.1_MC_1.18.2.jar	no	
mixininheaven-mc1.17.1-1.20-v0.0.1-hotfix.jar	no	
mobhealthbar-forge-1.18.2-2.2.0.jar	no	mobhealthbar,
modernfix-forge-5.18.0+mc1.18.2.jar	yes	modernfix,
morevillagers-FORGE-1.18.2-3.2.0.jar	yes	morevillagers,
mowziesmobs-1.6.3.jar	yes	mowziesmobs,
mvs-3.0.8-1.18.2.jar	no	
netherportalfix-forge-1.18.2-9.0.1.jar	yes	netherportalfix,
notenoughanimations-forge-1.6.0-mc1.18.2.jar	no	notenoughanimations,
nourished-nether-1.18.2-v17.jar	no	nourished_nether,
nyfsquiver-1.18.2-0.7.3.jar	no	nyfsquiver,
obscure_api-10.jar	yes	obscure_api,
oculus-flywheel-compat-forge1.18.2+1.0.3.jar	no	
oculus-mc1.18.2-1.6.4.jar	yes	iris,
oculusparticlefix-1.0.jar	no	
paraglidersstaminacompats-0.6.5-all.jar	no	
piglinproliferation-1.0.0.jar	no	piglinproliferation,
player-animation-lib-forge-1.0.2+1.18.jar	no	
plushies-1.2-1.18.2-forge.jar	no	plushies,
polylib-forge-1801.0.2-build.13.jar	no	polylib,
polymorph-forge-1.18.2-0.50.jar	yes	polymorph,
radium-0.7.10.jar	no	
radon-0.8.1.jar	no	
redirector-5.0.0.jar	no	
reforgium-1.18.2-1.0.12a.jar	no	
restored_earth-1.18.2-1.4.2.jar	no	restored_earth,
revamped_phantoms-forge-0.2.3.jar	no	revamped_phantoms,
rubidium-extra-0.4.18+mc1.18.2-build.86.jar	yes	sodium-extra,
saturn-mc1.18.2-0.1.5.jar	no	
savage_and_ravage-1.18.2-4.0.1.jar	yes	savage_and_ravage,
scatterd_weapons-1.18.2-1.2.jar	no	scattered_weapons,
secondchanceforge-1.18.2-1.5.0.jar	no	secondchanceforge,
selene-1.18.2-1.17.14.jar	no	selene,
shutupexperimentalsettings-1.0.5.jar	no	
smoothchunk-1.18.2-1.9.jar	no	
solapplepie-1.18.2-1.0.4.jar	no	solapplepie,
sophisticatedbackpacks-1.18.2-3.20.3.1063.jar	yes	sophisticatedbackpacks,
sophisticatedcore-1.18.2-0.6.4.604.jar	yes	sophisticatedcore,
soundphysics-forge-1.18.2-1.0.6.jar	no	sound_physics_remastered,
spark-1.10.38-forge.jar	no	
spyglass_improvements-1.5+mc1.18.2+forge.jar	no	spyglass_improvements,
starlight-1.0.2+forge.546ae87.jar	no	
structure_gel-1.18.2-2.4.7.jar	no	structure_gel,
supermartijn642configlib-1.1.8-forge-mc1.18.jar	no	
supermartijn642corelib-1.1.17-forge-mc1.18.jar	no	
supplementaries-1.18.2-1.5.18.jar	yes	supplementaries,
sword_soaring-forge1.18.2-18.1.11.9.jar	no	sword_soaring,
tenshilib-1.18.2-1.7.4-forge.jar	no	tenshilib,
textrues_embeddium_options-0.1.1+mc1.18.2.jar	no	reeses-sodium-options,
the-conjurer-1.18.2-1.1.1.jar	yes	conjurer_illager,
timeout_fixes-1.18.1-1.0.0.jar	no	
tlc_forge-1.0.1-R-1.18.2.jar	no	
toofast-1.18-0.0.1.3.jar	no	
tumbleweed-1.18-0.5.4.jar	no	
untamedwilds-1.18.2-2.4.3.jar	yes	untamedwilds,
villagernames-1.18.2-7.0.jar	no	
waystones-forge-1.18.2-10.2.2.jar	yes	waystones,
wildbackport-1.2.3.jar	no	wildbackport,
zmedievalmusic-1.18.2-1.4.jar	no	
